Date,Visitor,AG,Home,HG
2018-11-01,Dallas Stars,2,Toronto Maple Leafs,1
2018-11-02,Carolina Hurricanes,3,Arizona Coyotes,4
2018-11-02,Colorado Avalanche,6,Vancouver Canucks,7
2018-11-02,Florida Panthers,4,Winnipeg Jets,2
2018-11-03,Ottawa Senators,2,Buffalo Sabres,9
2018-11-03,Chicago Blackhawks,3,Calgary Flames,5
2018-11-03,Edmonton Oilers,4,Detroit Red Wings,3
2018-11-03,Columbus Blue Jackets,1,Los Angeles Kings,4
2018-11-03,Tampa Bay Lightning,4,Montreal Canadiens,1
2018-11-03,Boston Bruins,0,Nashville Predators,1
2018-11-03,New Jersey Devils,0,New York Islanders,3
2018-11-03,Toronto Maple Leafs,5,Pittsburgh Penguins,0
2018-11-03,Philadelphia Flyers,3,San Jose Sharks,4
2018-11-03,Minnesota Wild,5,St. Louis Blues,1
2018-11-03,Carolina Hurricanes,0,Vegas Golden Knights,3
2018-11-03,Dallas Stars,4,Washington Capitals,3
2018-11-04,Columbus Blue Jackets,2,Anaheim Ducks,3
2018-11-04,Buffalo Sabres,1,New York Rangers,3
2018-11-04,Tampa Bay Lightning,4,Ottawa Senators,3
2018-11-05,Philadelphia Flyers,5,Arizona Coyotes,2
2018-11-05,Dallas Stars,1,Boston Bruins,2
2018-11-05,Montreal Canadiens,4,New York Islanders,3
2018-11-05,New Jersey Devils,5,Pittsburgh Penguins,1
2018-11-05,Edmonton Oilers,2,Washington Capitals,4
2018-11-06,Dallas Stars,1,Columbus Blue Jackets,4
2018-11-06,Vancouver Canucks,2,Detroit Red Wings,3
2018-11-06,Anaheim Ducks,1,Los Angeles Kings,4
2018-11-06,Montreal Canadiens,3,New York Rangers,5
2018-11-06,New Jersey Devils,3,Ottawa Senators,7
2018-11-06,Minnesota Wild,3,San Jose Sharks,4
2018-11-06,Carolina Hurricanes,1,St. Louis Blues,4
2018-11-06,Edmonton Oilers,2,Tampa Bay Lightning,5
2018-11-06,Vegas Golden Knights,1,Toronto Maple Leafs,3
2018-11-07,Calgary Flames,2,Anaheim Ducks,3
2018-11-07,Nashville Predators,4,Colorado Avalanche,1
2018-11-07,Pittsburgh Penguins,1,Washington Capitals,2
2018-11-08,Vancouver Canucks,8,Boston Bruins,5
2018-11-08,Carolina Hurricanes,4,Chicago Blackhawks,3
2018-11-08,San Jose Sharks,3,Dallas Stars,4
2018-11-08,Edmonton Oilers,1,Florida Panthers,4
2018-11-08,Minnesota Wild,3,Los Angeles Kings,1
2018-11-08,Buffalo Sabres,6,Montreal Canadiens,5
2018-11-08,Vegas Golden Knights,5,Ottawa Senators,3
2018-11-08,Arizona Coyotes,4,Philadelphia Flyers,5
2018-11-08,New York Islanders,2,Tampa Bay Lightning,4
2018-11-09,Minnesota Wild,5,Anaheim Ducks,1
2018-11-09,New York Rangers,2,Detroit Red Wings,3
2018-11-09,San Jose Sharks,0,St. Louis Blues,4
2018-11-09,New Jersey Devils,1,Toronto Maple Leafs,6
2018-11-09,Colorado Avalanche,2,Winnipeg Jets,5
2018-11-09,Columbus Blue Jackets,2,Washington Capitals,1
2018-11-10,Toronto Maple Leafs,1,Boston Bruins,5
2018-11-10,Vancouver Canucks,3,Buffalo Sabres,4
2018-11-10,Detroit Red Wings,4,Carolina Hurricanes,3
2018-11-10,New York Rangers,5,Columbus Blue Jackets,4
2018-11-10,Nashville Predators,5,Dallas Stars,4
2018-11-10,New York Islanders,2,Florida Panthers,4
2018-11-10,Calgary Flames,1,Los Angeles Kings,0
2018-11-10,Vegas Golden Knights,4,Montreal Canadiens,5
2018-11-10,Chicago Blackhawks,0,Philadelphia Flyers,4
2018-11-10,Arizona Coyotes,0,Pittsburgh Penguins,4
2018-11-10,Ottawa Senators,6,Tampa Bay Lightning,4
2018-11-11,Vegas Golden Knights,1,Boston Bruins,4
2018-11-11,Colorado Avalanche,4,Edmonton Oilers,1
2018-11-11,Ottawa Senators,1,Florida Panthers,5
2018-11-11,Calgary Flames,1,San Jose Sharks,3
2018-11-11,Minnesota Wild,3,St. Louis Blues,2
2018-11-11,New Jersey Devils,2,Winnipeg Jets,5
2018-11-11,Arizona Coyotes,4,Washington Capitals,1
2018-11-12,Nashville Predators,1,Anaheim Ducks,2
2018-11-12,Chicago Blackhawks,2,Carolina Hurricanes,3
2018-11-12,Columbus Blue Jackets,2,Dallas Stars,1
2018-11-12,Vancouver Canucks,1,New York Rangers,2
2018-11-13,Tampa Bay Lightning,1,Buffalo Sabres,2
2018-11-13,Arizona Coyotes,1,Detroit Red Wings,6
2018-11-13,Montreal Canadiens,2,Edmonton Oilers,6
2018-11-13,Toronto Maple Leafs,5,Los Angeles Kings,1
2018-11-13,Washington Capitals,5,Minnesota Wild,2
2018-11-13,Pittsburgh Penguins,2,New Jersey Devils,4
2018-11-13,Vancouver Canucks,2,New York Islanders,5
2018-11-13,Florida Panthers,2,Philadelphia Flyers,1
2018-11-13,Nashville Predators,4,San Jose Sharks,5
2018-11-14,St. Louis Blues,0,Chicago Blackhawks,1
2018-11-14,Boston Bruins,3,Colorado Avalanche,6
2018-11-14,Anaheim Ducks,0,Vegas Golden Knights,5
2018-11-14,Washington Capitals,1,Winnipeg Jets,3
2018-11-15,Nashville Predators,1,Arizona Coyotes,2
2018-11-15,Florida Panthers,3,Columbus Blue Jackets,7
2018-11-15,Montreal Canadiens,3,Calgary Flames,2
2018-11-15,Vancouver Canucks,2,Minnesota Wild,6
2018-11-15,New York Rangers,5,New York Islanders,7
2018-11-15,Detroit Red Wings,1,Ottawa Senators,2
2018-11-15,New Jersey Devils,3,Philadelphia Flyers,0
2018-11-15,Tampa Bay Lightning,4,Pittsburgh Penguins,3
2018-11-15,Toronto Maple Leafs,5,San Jose Sharks,3
2018-11-16,Toronto Maple Leafs,2,Anaheim Ducks,1
2018-11-16,Los Angeles Kings,2,Chicago Blackhawks,1
2018-11-16,Washington Capitals,3,Colorado Avalanche,2
2018-11-16,Boston Bruins,0,Dallas Stars,1
2018-11-16,St. Louis Blues,4,Vegas Golden Knights,1
2018-11-16,Buffalo Sabres,2,Winnipeg Jets,1
2018-11-17,Boston Bruins,2,Arizona Coyotes,1
2018-11-17,Columbus Blue Jackets,4,Carolina Hurricanes,1
2018-11-17,Edmonton Oilers,2,Calgary Flames,4
2018-11-17,Buffalo Sabres,3,Minnesota Wild,2
2018-11-17,Detroit Red Wings,3,New Jersey Devils,2
2018-11-17,Los Angeles Kings,3,Nashville Predators,5
2018-11-17,Florida Panthers,2,New York Rangers,4
2018-11-17,Pittsburgh Penguins,4,Ottawa Senators,6
2018-11-17,Tampa Bay Lightning,6,Philadelphia Flyers,5
2018-11-17,St. Louis Blues,0,San Jose Sharks,4
2018-11-17,Montreal Canadiens,3,Vancouver Canucks,2
2018-11-18,Colorado Avalanche,4,Anaheim Ducks,3
2018-11-18,New Jersey Devils,1,Carolina Hurricanes,2
2018-11-18,Minnesota Wild,1,Chicago Blackhawks,3
2018-11-18,Vegas Golden Knights,6,Edmonton Oilers,3
2018-11-18,Dallas Stars,6,New York Islanders,2
2018-11-19,Vegas Golden Knights,2,Calgary Flames,7
2018-11-19,Washington Capitals,5,Montreal Canadiens,4
2018-11-19,Tampa Bay Lightning,2,Nashville Predators,3
2018-11-19,Dallas Stars,1,New York Rangers,2
2018-11-19,Florida Panthers,7,Ottawa Senators,5
2018-11-19,Buffalo Sabres,5,Pittsburgh Penguins,4
2018-11-19,Los Angeles Kings,2,St. Louis Blues,0
2018-11-19,Columbus Blue Jackets,2,Toronto Maple Leafs,4
2018-11-19,Winnipeg Jets,6,Vancouver Canucks,3
2018-11-20,Edmonton Oilers,4,San Jose Sharks,3
2018-11-21,Vancouver Canucks,3,Anaheim Ducks,4
2018-11-21,Vegas Golden Knights,3,Arizona Coyotes,2
2018-11-21,Philadelphia Flyers,2,Buffalo Sabres,5
2018-11-21,Toronto Maple Leafs,2,Carolina Hurricanes,5
2018-11-21,Winnipeg Jets,3,Calgary Flames,6
2018-11-21,Boston Bruins,2,Detroit Red Wings,3
2018-11-21,Colorado Avalanche,7,Los Angeles Kings,3
2018-11-21,Ottawa Senators,4,Minnesota Wild,6
2018-11-21,Montreal Canadiens,2,New Jersey Devils,5
2018-11-21,St. Louis Blues,1,Nashville Predators,4
2018-11-21,New York Islanders,0,New York Rangers,5
2018-11-21,Dallas Stars,1,Pittsburgh Penguins,5
2018-11-21,Florida Panthers,3,Tampa Bay Lightning,7
2018-11-21,Chicago Blackhawks,2,Washington Capitals,4
